tag,mode,frame,det_ms,nav_ms,total_ms,fps,objects
yolo11tiny_1.3.1,stress,118,0.02,0.05,0.07,15345.19,0
yolo11tiny_1.3.1,stress,119,0.02,0.02,0.05,20942.41,0
yolo11tiny_1.3.1,stress,120,0.02,0.02,0.04,25505.0,0
yolo11tiny_1.3.1,stress,121,0.02,0.03,0.05,21898.13,0
yolo11tiny_1.3.1,stress,122,0.02,0.02,0.04,22556.56,0
yolo11tiny_1.3.1,stress,123,0.02,0.03,0.05,19308.37,0
yolo11tiny_1.3.1,stress,124,0.02,0.03,0.05,20356.23,0
yolo11tiny_1.3.1,stress,125,0.02,0.02,0.04,23529.41,0
yolo11tiny_1.3.1,stress,126,0.03,0.06,0.09,10899.18,0
yolo11tiny_1.3.1,stress,127,0.02,0.03,0.05,19496.22,0
yolo11tiny_1.3.1,stress,128,0.02,0.03,0.05,22201.5,0
yolo11tiny_1.3.1,stress,129,0.02,0.02,0.05,22180.82,0
yolo11tiny_1.3.1,stress,130,0.02,0.07,0.09,11100.75,0
yolo11tiny_1.3.1,stress,131,0.02,0.02,0.03,31454.45,0
yolo11tiny_1.3.1,stress,132,0.03,0.02,0.06,17633.89,0
yolo11tiny_1.3.1,stress,133,0.02,0.03,0.05,18590.47,0
yolo11tiny_1.3.1,stress,134,0.03,0.03,0.05,19433.32,0
yolo11tiny_1.3.1,stress,135,0.01,0.02,0.03,30457.16,0
yolo11tiny_1.3.1,stress,136,0.01,0.02,0.03,35138.27,0
yolo11tiny_1.3.1,stress,137,0.02,0.02,0.04,22770.23,0
yolo11tiny_1.3.1,stress,138,0.02,0.03,0.05,21034.03,0
yolo11tiny_1.3.1,stress,139,0.02,0.03,0.04,23460.41,0
yolo11tiny_1.3.1,stress,140,0.03,0.03,0.06,16021.28,0
yolo11tiny_1.3.1,stress,141,0.01,0.02,0.03,28707.58,0
yolo11tiny_1.3.1,stress,142,0.02,0.03,0.05,21817.86,0
yolo11tiny_1.3.1,stress,143,0.02,0.03,0.05,18461.77,0
yolo11tiny_1.3.1,stress,144,0.02,0.02,0.04,24922.12,0
yolo11tiny_1.3.1,stress,145,0.02,0.03,0.05,18838.42,0
yolo11tiny_1.3.1,stress,146,0.02,0.03,0.05,20979.31,0
yolo11tiny_1.3.1,stress,147,0.02,0.03,0.05,19769.49,0
yolo11tiny_1.3.1,stress,148,0.02,0.03,0.05,19917.14,0
yolo11tiny_1.3.1,stress,149,0.02,0.03,0.05,19308.37,0
yolo11tiny_1.3.1,stress,150,0.02,0.02,0.04,22387.89,0
yolo11tiny_1.3.1,stress,151,0.02,0.03,0.05,20761.1,0
yolo11tiny_1.3.1,stress,152,0.02,0.03,0.05,21371.63,0
yolo11tiny_1.3.1,stress,153,0.02,0.03,0.05,20600.72,0
yolo11tiny_1.3.1,stress,154,0.02,0.02,0.04,23255.81,0
yolo11tiny_1.3.1,stress,155,0.02,0.02,0.04,26936.03,0
yolo11tiny_1.3.1,stress,156,0.03,0.03,0.06,15483.71,0
yolo11tiny_1.3.1,stress,157,0.02,0.03,0.05,21640.81,0
yolo11tiny_1.3.1,stress,158,0.02,0.03,0.05,21798.37,0
yolo11tiny_1.3.1,stress,159,0.02,0.02,0.04,25290.21,0
yolo11tiny_1.3.1,stress,160,0.03,0.03,0.06,15989.51,0
yolo11tiny_1.3.1,stress,161,0.02,0.02,0.04,25183.84,0
yolo11tiny_1.3.1,stress,162,0.02,0.03,0.05,19512.2,0
yolo11tiny_1.3.1,stress,163,0.02,0.03,0.05,21857.92,0
yolo11tiny_1.3.1,stress,164,0.02,0.02,0.04,24169.18,0
yolo11tiny_1.3.1,stress,165,0.02,0.14,0.16,6131.81,0
yolo11tiny_1.3.1,stress,166,0.02,0.03,0.05,21524.82,0
yolo11tiny_1.3.1,stress,167,0.02,0.15,0.16,6074.41,0
yolo11tiny_1.3.1,stress,168,0.02,0.02,0.04,24291.3,0
yolo11tiny_1.3.1,stress,169,0.02,0.02,0.04,24217.77,0
yolo11tiny_1.3.1,stress,170,0.11,0.03,0.14,7123.78,0
yolo11tiny_1.3.1,stress,171,0.02,0.03,0.05,20270.41,0
yolo11tiny_1.3.1,stress,172,0.02,0.02,0.05,21524.82,0
yolo11tiny_1.3.1,stress,173,0.08,0.02,0.1,10265.15,0
yolo11tiny_1.3.1,stress,174,0.02,0.03,0.05,20425.67,0
yolo11tiny_1.3.1,stress,175,0.02,0.03,0.05,18897.88,0
yolo11tiny_1.3.1,stress,176,0.02,0.03,0.05,21145.67,0
yolo11tiny_1.3.1,stress,177,0.02,0.03,0.05,20653.9,0
yolo11tiny_1.3.1,stress,178,0.04,0.03,0.07,14388.49,0
yolo11tiny_1.3.1,stress,179,0.02,0.03,0.05,18504.13,0
yolo11tiny_1.3.1,stress,180,0.02,0.03,0.05,19215.62,0
yolo11tiny_1.3.1,stress,181,0.02,0.03,0.05,18720.63,0
yolo11tiny_1.3.1,stress,182,0.04,0.06,0.09,10676.23,0
yolo11tiny_1.3.1,stress,183,0.02,0.03,0.05,19047.62,0
yolo11tiny_1.3.1,stress,184,0.02,0.03,0.05,21145.23,0
yolo11tiny_1.3.1,stress,185,0.02,0.03,0.05,20530.51,0
yolo11tiny_1.3.1,stress,186,0.02,0.03,0.05,20924.0,0
yolo11tiny_1.3.1,stress,187,0.02,0.04,0.06,16889.32,0
yolo11tiny_1.3.1,stress,188,0.02,0.03,0.05,19432.95,0
yolo11tiny_1.3.1,stress,189,0.02,0.03,0.05,21582.89,0
yolo11tiny_1.3.1,stress,190,0.01,0.02,0.03,31087.76,0
yolo11tiny_1.3.1,stress,191,0.02,0.05,0.07,14732.97,0
yolo11tiny_1.3.1,stress,192,0.02,0.02,0.04,26785.95,0
yolo11tiny_1.3.1,stress,193,0.02,0.02,0.04,24716.99,0
yolo11tiny_1.3.1,stress,194,0.02,0.03,0.05,18912.53,0
yolo11tiny_1.3.1,stress,195,0.02,0.03,0.05,20219.18,0
yolo11tiny_1.3.1,stress,196,0.01,0.02,0.03,29556.94,0
yolo11tiny_1.3.1,stress,197,0.02,0.02,0.04,25531.7,0
yolo11tiny_1.3.1,stress,198,0.02,0.02,0.04,26845.64,0
yolo11tiny_1.3.1,stress,199,0.02,0.02,0.04,24193.74,0
yolo11tiny_1.3.1,stress,200,0.05,0.02,0.07,14010.51,0
yolo11tiny_1.3.1,stress,201,0.02,0.02,0.03,28776.98,0
yolo11tiny_1.3.1,stress,202,0.02,0.03,0.05,21239.09,0
yolo11tiny_1.3.1,stress,203,0.04,0.02,0.06,16865.97,0
yolo11tiny_1.3.1,stress,204,0.01,0.02,0.03,33898.31,0
yolo11tiny_1.3.1,stress,205,0.02,0.02,0.05,22018.19,0
yolo11tiny_1.3.1,stress,206,0.04,0.03,0.06,15594.54,0
yolo11tiny_1.3.1,stress,207,0.01,0.04,0.05,20184.89,0
yolo11tiny_1.3.1,stress,208,0.02,0.02,0.04,23300.79,0
yolo11tiny_1.3.1,stress,209,0.02,0.02,0.04,22346.37,0
yolo11tiny_1.3.1,stress,210,0.02,0.02,0.04,27428.82,0
yolo11tiny_1.3.1,stress,211,0.03,0.03,0.06,16736.4,0
yolo11tiny_1.3.1,stress,212,0.02,0.02,0.04,25505.0,0
